dataset,family,distribution,structure,n_samples,n_features,seed,normalized,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,connected_all_k,n_components
chi_square-separated-n100000-d128-seed42,synthetic,chi_square,separated_clusters,100000,128,42,False,316,0,12924,316,1,1,True,1
chi_square-separated-n200000-d2-seed42,synthetic,chi_square,separated_clusters,200000,2,42,False,447,26,72,39,1,1,True,1
chi_square-separated-n200000-d10-seed42,synthetic,chi_square,separated_clusters,200000,10,42,False,447,3,192,191,1,1,True,1
chi_square-separated-n200000-d32-seed42,synthetic,chi_square,separated_clusters,200000,32,42,False,447,0,1744,447,3,3,True,1
chi_square-separated-n200000-d64-seed42,synthetic,chi_square,separated_clusters,200000,64,42,False,447,0,8665,447,1,1,True,1
chi_square-separated-n200000-d128-seed42,synthetic,chi_square,separated_clusters,200000,128,42,False,447,0,27058,447,1,1,True,1
chi_square-separated-n500000-d2-seed42,synthetic,chi_square,separated_clusters,500000,2,42,False,707,27,180,57,3,3,True,1
chi_square-separated-n500000-d10-seed42,synthetic,chi_square,separated_clusters,500000,10,42,False,707,4,382,15,1,1,True,1
chi_square-separated-n500000-d32-seed42,synthetic,chi_square,separated_clusters,500000,32,42,False,707,0,3634,707,1,6,True,1
chi_square-separated-n500000-d64-seed42,synthetic,chi_square,separated_clusters,500000,64,42,False,707,0,20679,707,1,2,True,1
chi_square-separated-n500000-d128-seed42,synthetic,chi_square,separated_clusters,500000,128,42,False,707,0,69930,707,1,1,True,1
chi_square-separated-n1000000-d2-seed42,synthetic,chi_square,separated_clusters,1000000,2,42,False,1000,27,233,203,1,1,True,1
chi_square-separated-n1000000-d10-seed42,synthetic,chi_square,separated_clusters,1000000,10,42,False,1000,3,438,435,1,1,True,1
chi_square-separated-n1000000-d32-seed42,synthetic,chi_square,separated_clusters,1000000,32,42,False,1000,0,6443,1000,3,4,True,1
chi_square-separated-n1000000-d64-seed42,synthetic,chi_square,separated_clusters,1000000,64,42,False,1000,0,40089,1000,3,5,True,1
chi_square-separated-n1000000-d128-seed42,synthetic,chi_square,separated_clusters,1000000,128,42,False,1000,0,145121,1000,1,1,True,1
gamma-separated-n1000-d2-seed42,synthetic,gamma,separated_clusters,1000,2,42,False,31,10,5,3,1,1,True,1
gamma-separated-n1000-d10-seed42,synthetic,gamma,separated_clusters,1000,10,42,False,31,5,9,6,1,1,True,1
