dataset,family,distribution,structure,n_samples,n_features,seed,normalized,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,connected_all_k,n_components
von_mises-separated-n5000-d10-seed42,synthetic,von_mises,separated_clusters,5000,10,42.0,False,70,2,45,16,1,1,True,1
von_mises-iid-n5000-d32-seed42,synthetic,von_mises,iid,5000,32,42.0,False,70,0,126,70,2,2,True,1
von_mises-separated-n5000-d32-seed42,synthetic,von_mises,separated_clusters,5000,32,42.0,False,70,0,89,70,1,1,True,1
von_mises-iid-n5000-d64-seed42,synthetic,von_mises,iid,5000,64,42.0,False,70,0,271,70,1,1,True,1
von_mises-separated-n5000-d64-seed42,synthetic,von_mises,separated_clusters,5000,64,42.0,False,70,0,168,70,1,1,True,1
von_mises-iid-n10000-d2-seed42,synthetic,von_mises,iid,10000,2,42.0,False,100,25,12,4,1,1,True,1
von_mises-separated-n10000-d2-seed42,synthetic,von_mises,separated_clusters,10000,2,42.0,False,100,10,16,14,1,1,True,1
von_mises-iid-n10000-d10-seed42,synthetic,von_mises,iid,10000,10,42.0,False,100,2,59,22,1,1,True,1
von_mises-separated-n10000-d10-seed42,synthetic,von_mises,separated_clusters,10000,10,42.0,False,100,1,65,64,1,1,True,1
von_mises-iid-n10000-d32-seed42,synthetic,von_mises,iid,10000,32,42.0,False,100,0,270,100,1,1,True,1
von_mises-separated-n10000-d32-seed42,synthetic,von_mises,separated_clusters,10000,32,42.0,False,100,0,216,100,1,1,True,1
von_mises-iid-n10000-d64-seed42,synthetic,von_mises,iid,10000,64,42.0,False,100,0,642,100,1,1,True,1
von_mises-separated-n10000-d64-seed42,synthetic,von_mises,separated_clusters,10000,64,42.0,False,100,0,428,100,1,1,True,1
gumbel-iid-n1000-d2-seed42,synthetic,gumbel,iid,1000,2,42.0,False,31,18,4,2,1,1,True,1
gumbel-separated-n1000-d2-seed42,synthetic,gumbel,separated_clusters,1000,2,42.0,False,31,10,8,5,1,1,True,1
gumbel-iid-n1000-d10-seed42,synthetic,gumbel,iid,1000,10,42.0,False,31,6,17,3,1,1,True,1
gumbel-separated-n1000-d10-seed42,synthetic,gumbel,separated_clusters,1000,10,42.0,False,31,5,16,3,1,1,True,1
gumbel-iid-n1000-d32-seed42,synthetic,gumbel,iid,1000,32,42.0,False,31,1,21,16,1,1,True,1
gumbel-separated-n1000-d32-seed42,synthetic,gumbel,separated_clusters,1000,32,42.0,False,31,2,15,8,1,1,True,1
gumbel-iid-n1000-d64-seed42,synthetic,gumbel,iid,1000,64,42.0,False,31,0,46,31,1,1,True,1
gumbel-separated-n1000-d64-seed42,synthetic,gumbel,separated_clusters,1000,64,42.0,False,31,1,27,17,1,1,True,1
gumbel-iid-n5000-d2-seed42,synthetic,gumbel,iid,5000,2,42.0,False,70,20,7,7,1,1,True,1
gumbel-separated-n5000-d2-seed42,synthetic,gumbel,separated_clusters,5000,2,42.0,False,70,13,14,6,1,1,True,1
gumbel-iid-n5000-d10-seed42,synthetic,gumbel,iid,5000,10,42.0,False,70,5,29,6,1,1,True,1
gumbel-separated-n5000-d10-seed42,synthetic,gumbel,separated_clusters,5000,10,42.0,False,70,3,28,19,1,1,True,1
gumbel-iid-n5000-d32-seed42,synthetic,gumbel,iid,5000,32,42.0,False,70,0,80,70,1,1,True,1
gumbel-separated-n5000-d32-seed42,synthetic,gumbel,separated_clusters,5000,32,42.0,False,70,1,117,2,1,1,True,1
gumbel-iid-n5000-d64-seed42,synthetic,gumbel,iid,5000,64,42.0,False,70,0,246,70,1,1,True,1
gumbel-separated-n5000-d64-seed42,synthetic,gumbel,separated_clusters,5000,64,42.0,False,70,0,180,70,1,1,True,1
gumbel-iid-n10000-d2-seed42,synthetic,gumbel,iid,10000,2,42.0,False,100,21,12,12,1,1,True,1
gumbel-separated-n10000-d2-seed42,synthetic,gumbel,separated_clusters,10000,2,42.0,False,100,13,20,16,1,1,True,1
gumbel-iid-n10000-d10-seed42,synthetic,gumbel,iid,10000,10,42.0,False,100,4,37,37,1,1,True,1
gumbel-separated-n10000-d10-seed42,synthetic,gumbel,separated_clusters,10000,10,42.0,False,100,3,40,23,1,1,True,1
gumbel-iid-n10000-d32-seed42,synthetic,gumbel,iid,10000,32,42.0,False,100,0,130,100,1,1,True,1
gumbel-separated-n10000-d32-seed42,synthetic,gumbel,separated_clusters,10000,32,42.0,False,100,0,166,100,1,1,True,1
gumbel-iid-n10000-d64-seed42,synthetic,gumbel,iid,10000,64,42.0,False,100,0,500,100,1,1,True,1
gumbel-separated-n10000-d64-seed42,synthetic,gumbel,separated_clusters,10000,64,42.0,False,100,0,444,100,1,1,True,1
logistic-iid-n1000-d2-seed42,synthetic,logistic,iid,1000,2,42.0,False,31,15,5,3,1,1,True,1
logistic-separated-n1000-d2-seed42,synthetic,logistic,separated_clusters,1000,2,42.0,False,31,8,5,5,1,1,True,1
logistic-iid-n1000-d10-seed42,synthetic,logistic,iid,1000,10,42.0,False,31,4,10,2,1,1,True,1
logistic-separated-n1000-d10-seed42,synthetic,logistic,separated_clusters,1000,10,42.0,False,31,4,8,5,1,1,True,1
logistic-iid-n1000-d32-seed42,synthetic,logistic,iid,1000,32,42.0,False,31,0,33,31,1,1,True,1
logistic-separated-n1000-d32-seed42,synthetic,logistic,separated_clusters,1000,32,42.0,False,31,3,12,8,1,1,True,1
logistic-iid-n1000-d64-seed42,synthetic,logistic,iid,1000,64,42.0,False,31,0,54,31,1,1,True,1
logistic-separated-n1000-d64-seed42,synthetic,logistic,separated_clusters,1000,64,42.0,False,31,2,13,8,1,1,True,1
logistic-iid-n5000-d2-seed42,synthetic,logistic,iid,5000,2,42.0,False,70,20,8,4,1,1,True,1
logistic-separated-n5000-d2-seed42,synthetic,logistic,separated_clusters,5000,2,42.0,False,70,10,13,8,2,2,True,1
logistic-iid-n5000-d10-seed42,synthetic,logistic,iid,5000,10,42.0,False,70,2,42,29,1,1,True,1
logistic-separated-n5000-d10-seed42,synthetic,logistic,separated_clusters,5000,10,42.0,False,70,2,48,4,1,1,True,1
logistic-iid-n5000-d32-seed42,synthetic,logistic,iid,5000,32,42.0,False,70,0,200,70,1,1,True,1
