dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k_min,k_max,n_k_values,connected_all_k,connected_rate,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
poisson-iid-n25000-d2-seed42,synthetic,poisson,iid,approx_knn_only,25000,2,42.0,False,2,50,49,False,0.0,143,2678,55,1250000,0,158,0,10492,158,16,30,20.375192668001542,2.987055915999008
poisson-iid-n25000-d2-seed42,synthetic,poisson,iid,random_sqrt_clique,25000,2,42.0,False,2,50,49,False,0.0,59,18775,55,1262403,158,158,0,10492,158,16,30,20.375192668001542,3.027869205998286
poisson-iid-n25000-d2-seed42,synthetic,poisson,iid,score_sg_antihub,25000,2,42.0,False,2,50,49,False,0.0,124,7684,55,1262403,158,158,0,10492,158,16,30,20.375192668001542,3.019656833999761
poisson-separated-n25000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,25000,2,42.0,False,2,50,49,False,0.0,161,2167,51,1250000,0,158,0,4444,158,1,2,3.509165374000077,2.946415069998693
poisson-separated-n25000-d2-seed42,synthetic,poisson,separated_clusters,random_sqrt_clique,25000,2,42.0,False,2,50,49,False,0.0,92,17597,51,1262403,158,158,0,4444,158,1,2,3.509165374000077,3.030267729000116
poisson-separated-n25000-d2-seed42,synthetic,poisson,separated_clusters,score_sg_antihub,25000,2,42.0,False,2,50,49,False,0.0,126,10059,51,1262403,158,158,0,4444,158,1,2,3.509165374000077,3.077228460000697
poisson-separated-n25000-d10-seed42,synthetic,poisson,separated_clusters,approx_knn_only,25000,10,42.0,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,2,104,64,1,1,5.10892093000075,2.918080430998089
poisson-separated-n25000-d32-seed42,synthetic,poisson,separated_clusters,approx_knn_only,25000,32,42.0,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,0,326,158,1,1,5.230879186001403,2.9426212619982834
poisson-separated-n25000-d64-seed42,synthetic,poisson,separated_clusters,approx_knn_only,25000,64,42.0,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,0,773,158,1,1,5.875436304999312,2.931129521999537
poisson-separated-n25000-d128-seed42,synthetic,poisson,separated_clusters,approx_knn_only,25000,128,42.0,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,0,1384,158,1,1,7.119421683000837,3.012529666000773
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,approx_knn_only,50000,2,42.0,False,2,50,49,False,0.0,268,2915,51,2500000,0,223,0,26011,223,31,42,21.35324104699976,6.189148577999731
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,random_sqrt_clique,50000,2,42.0,False,2,50,49,False,0.0,144,31293,51,2524753,223,223,0,26011,223,31,42,21.35324104699976,6.313849249003397
poisson-iid-n50000-d2-seed42,synthetic,poisson,iid,score_sg_antihub,50000,2,42.0,False,2,50,49,False,0.0,244,6838,51,2524753,223,223,0,26011,223,31,42,21.35324104699976,6.15323355199871
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,2,42.0,False,2,50,49,False,0.0,336,2720,51,2500000,0,223,0,14793,223,27,50,6.14189646199884,6.238574270999379
