dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k_min,k_max,n_k_values,connected_all_k,connected_rate,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
gaussian-separated-n5000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,32,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,1,65,28,1,1,1.1156974350000155,0.6614776690000781
gaussian-separated-n5000-d32-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,5000,32,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,1,65,28,1,1,1.1156974350000155,0.6482478490000858
gaussian-separated-n5000-d32-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,5000,32,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,1,65,28,1,1,1.1156974350000155,0.6471699329999865
gaussian-iid-n5000-d64-seed42,synthetic,gaussian,iid,approx_knn_only,5000,64,42.0,False,2,50,49,True,1.0,1,5000,5000,250000,0,70,0,149,70,1,1,20.064701934000027,0.6924572699999771
gaussian-iid-n5000-d64-seed42,synthetic,gaussian,iid,random_sqrt_clique,5000,64,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,149,70,1,1,20.064701934000027,0.6766889589999892
gaussian-iid-n5000-d64-seed42,synthetic,gaussian,iid,score_sg_antihub,5000,64,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,149,70,1,1,20.064701934000027,0.690440828000078
gaussian-separated-n5000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,64,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,0,70,70,1,1,1.2089490969999588,0.6590571420000515
gaussian-separated-n5000-d64-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,5000,64,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,70,70,1,1,1.2089490969999588,0.6547820299999785
gaussian-separated-n5000-d64-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,5000,64,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,70,70,1,1,1.2089490969999588,0.7305453449999959
gaussian-iid-n5000-d128-seed42,synthetic,gaussian,iid,approx_knn_only,5000,128,42.0,False,2,50,49,True,1.0,1,5000,5000,250000,0,70,0,268,70,1,2,20.06252593900001,0.6715515249999271
gaussian-iid-n5000-d128-seed42,synthetic,gaussian,iid,random_sqrt_clique,5000,128,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,268,70,1,2,20.06252593900001,0.6511592939999673
gaussian-iid-n5000-d128-seed42,synthetic,gaussian,iid,score_sg_antihub,5000,128,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,268,70,1,2,20.06252593900001,0.6672794899999417
gaussian-separated-n5000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,5000,128,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,0,103,70,1,1,1.2529859700000543,0.6604898800000001
gaussian-separated-n5000-d128-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,5000,128,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,103,70,1,1,1.2529859700000543,0.6580207769999333
gaussian-separated-n5000-d128-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,5000,128,42.0,False,2,50,49,True,1.0,1,5000,5000,252415,70,70,0,103,70,1,1,1.2529859700000543,0.6459033639999916
gaussian-iid-n10000-d2-seed42,synthetic,gaussian,iid,approx_knn_only,10000,2,42.0,False,2,50,49,True,1.0,1,10000,10000,500000,0,100,24,11,10,1,1,20.513524311000083,1.2940974429999414
gaussian-iid-n10000-d2-seed42,synthetic,gaussian,iid,random_sqrt_clique,10000,2,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,24,11,10,1,1,20.513524311000083,1.3007511689999092
gaussian-iid-n10000-d2-seed42,synthetic,gaussian,iid,score_sg_antihub,10000,2,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,24,11,10,1,1,20.513524311000083,1.279259791999948
gaussian-separated-n10000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,2,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,13,19,1,1,1,2.228042956999957,1.2912405399999898
gaussian-separated-n10000-d2-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,10000,2,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,13,19,1,1,1,2.228042956999957,1.292770293999979
gaussian-separated-n10000-d2-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,10000,2,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,13,19,1,1,1,2.228042956999957,1.2993287089999512
gaussian-iid-n10000-d10-seed42,synthetic,gaussian,iid,approx_knn_only,10000,10,42.0,False,2,50,49,True,1.0,1,10000,10000,500000,0,100,2,42,40,1,1,21.970217701000024,1.3812116980000155
gaussian-iid-n10000-d10-seed42,synthetic,gaussian,iid,random_sqrt_clique,10000,10,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,2,42,40,1,1,21.970217701000024,1.31938553100008
gaussian-iid-n10000-d10-seed42,synthetic,gaussian,iid,score_sg_antihub,10000,10,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,2,42,40,1,1,21.970217701000024,1.460271141000021
gaussian-separated-n10000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,10,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,2,64,48,1,1,1.871358895999947,1.1056253049999896
gaussian-separated-n10000-d10-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,10000,10,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,2,64,48,1,1,1.871358895999947,1.1423565679999683
gaussian-separated-n10000-d10-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,10000,10,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,2,64,48,1,1,1.871358895999947,1.1844703269999854
gaussian-iid-n10000-d32-seed42,synthetic,gaussian,iid,approx_knn_only,10000,32,42.0,False,2,50,49,True,1.0,1,10000,10000,500000,0,100,0,179,100,1,1,17.985766870999896,1.0736640819999366
gaussian-iid-n10000-d32-seed42,synthetic,gaussian,iid,random_sqrt_clique,10000,32,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,179,100,1,1,17.985766870999896,1.0789901139999074
gaussian-iid-n10000-d32-seed42,synthetic,gaussian,iid,score_sg_antihub,10000,32,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,179,100,1,1,17.985766870999896,1.0799686859999156
gaussian-separated-n10000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,32,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,121,100,1,1,1.7477938949999725,1.107603289999929
gaussian-separated-n10000-d32-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,10000,32,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,121,100,1,1,1.7477938949999725,1.1004789909999315
