dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k_min,k_max,n_k_values,connected_all_k,connected_rate,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
gaussian-iid-n10000-d32-seed42,synthetic,gaussian,iid,random_sqrt_clique,10000,32,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,179,100,2,2,0.7694277150003472,1.0891610649996437
gaussian-iid-n10000-d32-seed42,synthetic,gaussian,iid,score_sg_antihub,10000,32,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,179,100,2,2,0.7694277150003472,1.1084393019991694
gaussian-separated-n10000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,32,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,121,100,1,1,0.7331652249995386,1.1353357340012735
gaussian-separated-n10000-d32-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,10000,32,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,121,100,1,1,0.7331652249995386,1.1266945230017882
gaussian-separated-n10000-d32-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,10000,32,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,121,100,1,1,0.7331652249995386,1.1220106430009764
gaussian-iid-n10000-d64-seed42,synthetic,gaussian,iid,approx_knn_only,10000,64,42.0,False,2,50,49,True,1.0,1,10000,10000,500000,0,100,0,403,100,1,1,0.7585270889976528,1.1297482979971392
gaussian-iid-n10000-d64-seed42,synthetic,gaussian,iid,random_sqrt_clique,10000,64,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,403,100,1,1,0.7585270889976528,1.1079141660011373
gaussian-iid-n10000-d64-seed42,synthetic,gaussian,iid,score_sg_antihub,10000,64,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,403,100,1,1,0.7585270889976528,1.1120691540018015
gaussian-separated-n10000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,64,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,237,100,1,1,0.7245545339974342,1.1342221749982855
gaussian-separated-n10000-d64-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,10000,64,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,237,100,1,1,0.7245545339974342,1.0942305460011994
gaussian-separated-n10000-d64-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,10000,64,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,237,100,1,1,0.7245545339974342,1.1232837040006416
poisson-iid-n1000-d2-seed42,synthetic,poisson,iid,approx_knn_only,1000,2,42.0,False,2,50,49,True,1.0,1,1000,1000,50000,0,31,17,7,2,1,2,0.15868824800054426,0.1260615350001899
poisson-iid-n1000-d2-seed42,synthetic,poisson,iid,random_sqrt_clique,1000,2,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,17,7,2,1,2,0.15868824800054426,0.11756608900032006
poisson-iid-n1000-d2-seed42,synthetic,poisson,iid,score_sg_antihub,1000,2,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,17,7,2,1,2,0.15868824800054426,0.1229510900011519
poisson-separated-n1000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,1000,2,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,13,3,3,1,1,0.18808619999981602,0.1266698979998182
poisson-separated-n1000-d2-seed42,synthetic,poisson,separated_clusters,random_sqrt_clique,1000,2,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,13,3,3,1,1,0.18808619999981602,0.11548259199844324
poisson-separated-n1000-d2-seed42,synthetic,poisson,separated_clusters,score_sg_antihub,1000,2,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,13,3,3,1,1,0.18808619999981602,0.10922651000146288
poisson-iid-n1000-d10-seed42,synthetic,poisson,iid,approx_knn_only,1000,10,42.0,False,2,50,49,True,1.0,1,1000,1000,50000,0,31,6,10,5,1,1,0.14640939200035064,0.11556530399684561
poisson-iid-n1000-d10-seed42,synthetic,poisson,iid,random_sqrt_clique,1000,10,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,6,10,5,1,1,0.14640939200035064,0.10925525799757452
poisson-iid-n1000-d10-seed42,synthetic,poisson,iid,score_sg_antihub,1000,10,42.0,False,2,50,49,True,1.0,1,1000,1000,50465,31,31,6,10,5,1,1,0.14640939200035064,0.11095309799929964
poisson-separated-n1000-d10-seed42,synthetic,poisson,separated_clusters,approx_knn_only,1000,10,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,6,8,5,1,1,0.15224772399960784,0.11304712600031053
