dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k_min,k_max,n_k_values,connected_all_k,connected_rate,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
chi_square-separated-n1000-d32-seed42,synthetic,chi_square,separated_clusters,approx_knn_only,1000,32,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,1,21,17,1,1,0.15663150399996084,0.10859985599745414
chi_square-separated-n1000-d64-seed42,synthetic,chi_square,separated_clusters,approx_knn_only,1000,64,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,1,31,1,1,1,0.2126997109990043,0.111625270001241
chi_square-separated-n5000-d2-seed42,synthetic,chi_square,separated_clusters,approx_knn_only,5000,2,42.0,False,2,50,49,False,0.0,2,2501,2499,250000,0,70,17,9,8,2,2,0.3867394990011235,0.5460725759985507
chi_square-separated-n5000-d10-seed42,synthetic,chi_square,separated_clusters,approx_knn_only,5000,10,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,4,32,14,1,1,0.4200392329985334,0.5694430039984582
chi_square-separated-n5000-d32-seed42,synthetic,chi_square,separated_clusters,approx_knn_only,5000,32,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,1,77,8,1,1,0.37229110399857746,0.5636945160003961
chi_square-separated-n5000-d64-seed42,synthetic,chi_square,separated_clusters,approx_knn_only,5000,64,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,0,206,70,1,1,0.38463146099820733,0.5581116430003021
chi_square-separated-n10000-d2-seed42,synthetic,chi_square,separated_clusters,approx_knn_only,10000,2,42.0,False,2,50,49,False,0.0,4,3334,1666,500000,0,100,17,11,11,1,1,0.7044363950008119,1.1216385569969134
chi_square-separated-n10000-d10-seed42,synthetic,chi_square,separated_clusters,approx_knn_only,10000,10,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,4,39,19,1,1,0.7226430390001042,1.1153067509985704
chi_square-separated-n10000-d32-seed42,synthetic,chi_square,separated_clusters,approx_knn_only,10000,32,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,130,100,1,1,0.68634227900111,1.0780774380000366
chi_square-separated-n10000-d64-seed42,synthetic,chi_square,separated_clusters,approx_knn_only,10000,64,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,450,100,1,1,0.6824551790014084,1.1070387220024713
gamma-separated-n1000-d2-seed42,synthetic,gamma,separated_clusters,approx_knn_only,1000,2,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,10,5,3,1,1,0.14839485400079866,0.11260743299862952
gamma-separated-n1000-d10-seed42,synthetic,gamma,separated_clusters,approx_knn_only,1000,10,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,5,9,6,1,1,0.17214611799863633,0.12992031900284928
gamma-separated-n1000-d32-seed42,synthetic,gamma,separated_clusters,approx_knn_only,1000,32,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,2,12,5,1,1,0.1740806519992475,0.11327508600152214
gamma-separated-n1000-d64-seed42,synthetic,gamma,separated_clusters,approx_knn_only,1000,64,42.0,False,2,50,49,False,0.0,6,167,166,50000,0,31,1,20,15,1,1,0.1458661700016819,0.1200916559973848
gamma-separated-n5000-d2-seed42,synthetic,gamma,separated_clusters,approx_knn_only,5000,2,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,15,6,1,1,1,0.4089465590004693,0.5595077489997493
gamma-separated-n5000-d10-seed42,synthetic,gamma,separated_clusters,approx_knn_only,5000,10,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,4,30,7,1,1,0.41780309599926113,0.5513109569983499
gamma-separated-n5000-d32-seed42,synthetic,gamma,separated_clusters,approx_knn_only,5000,32,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,1,83,7,1,1,0.36181432900048094,0.5565076429993496
gamma-separated-n5000-d64-seed42,synthetic,gamma,separated_clusters,approx_knn_only,5000,64,42.0,False,2,50,49,False,0.0,6,834,833,250000,0,70,0,190,70,1,1,0.4033287489983195,0.552474768999673
gamma-separated-n10000-d2-seed42,synthetic,gamma,separated_clusters,approx_knn_only,10000,2,42.0,False,2,50,49,False,0.0,5,3333,1666,500000,0,100,18,14,4,1,1,0.6825940570015518,1.2030464909985312
gamma-separated-n10000-d10-seed42,synthetic,gamma,separated_clusters,approx_knn_only,10000,10,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,3,35,30,1,1,0.7376610339997569,1.1638900480029406
gamma-separated-n10000-d32-seed42,synthetic,gamma,separated_clusters,approx_knn_only,10000,32,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,138,100,1,1,0.6844115839994629,1.1519564970003557
gamma-separated-n10000-d64-seed42,synthetic,gamma,separated_clusters,approx_knn_only,10000,64,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,416,100,1,1,0.8520686740012025,1.1213856149988715
